"","state","place","NAME","Total Population","Median Age","Total Male Population","Total Female Population","White Alone","Black or African American Alone","Asian Alone","Hispanic or Latino Population","Median Household Income","Household Income Brackets","Per Capita Income","Population Below Poverty Level","Median Home Value","Median Gross Rent","Labor Force","Unemployed Population","Civilian Employed Population","Industry for Civilian Employed Population","High School Graduate or Equivalent","Bachelor's Degree","Master's Degree","Professional School Degree","Doctorate Degree","Total Housing Units","Occupied Housing Units","Vacant Housing Units","Owner-Occupied Housing Units","Renter-Occupied Housing Units","Total Workers","Workers Who Drive Alone","Workers Using Public Transport","Mean Travel Time to Work (Minutes)","Total Population for Health Insurance Coverage","Population with Public Health Insurance","Population with Private Health Insurance","Population with No Health Insurance"
"137","50","67225","South Londonderry",184,46.7,68,116,160,21,0,0,61964,0,47938,17,-666666666,-666666666,165,0,0,36477,55,8,48,0,0,99,78,21,43,35,165,132,0,2625,184,0,0,0
"138","50","68050","South Royalton",435,32.4,97,338,370,28,14,0,-666666666,46,26145,126,139200,872,260,0,0,40000,97,15,117,11,11,380,195,185,50,145,260,35,0,4730,435,0,0,11
"139","50","68200","South Shaftsbury",442,64.1,204,238,393,0,0,0,58692,26,34533,26,194200,-666666666,260,0,18,45339,72,154,26,18,0,237,209,28,204,5,260,258,0,4550,442,0,0,18
"140","50","69250","South Woodstock",19,-666666666,9,10,19,0,0,0,-666666666,0,NA,0,-666666666,-666666666,19,0,9,-666666666,10,0,0,0,0,45,10,35,0,10,19,0,0,NA,19,0,0,9
"141","50","69475","Springfield",3882,42.5,1719,2163,3610,23,0,87,44375,212,28787,742,138400,726,1596,58,172,45585,1010,342,490,86,0,2102,1782,320,895,887,1505,1200,13,36350,3827,0,0,242
"142","50","69700","Stamford",522,53.4,239,283,487,0,13,12,88750,10,44752,30,263600,-666666666,237,22,15,61458,84,39,93,42,10,230,212,18,207,5,215,186,0,7770,522,0,0,6
"143","50","70450","Stowe",745,71.1,324,421,745,0,0,0,84429,0,93006,30,-666666666,1310,235,39,0,72851,19,18,328,121,83,553,439,114,270,169,196,99,0,NA,745,0,0,16
"144","50","70825","Stratton Mountain",97,47.2,70,27,97,0,0,0,174722,0,92887,0,1045500,-666666666,46,0,0,68333,4,3,11,41,4,1663,36,1627,26,10,46,0,0,NA,97,0,0,0
"145","50","71500","Sutton",165,43.7,74,91,165,0,0,0,80481,0,34913,4,213600,-666666666,105,0,0,46607,60,11,5,12,0,81,71,10,56,15,105,81,0,2065,165,0,0,7
"146","50","71650","Swanton",2732,39.2,1306,1426,2495,17,127,31,71307,4,26935,480,210000,1021,1270,75,69,44615,711,103,133,90,6,978,899,79,631,268,1182,834,0,24585,2713,0,0,108
"147","50","73225","Townshend",158,80.1,68,90,155,0,0,0,38295,3,47700,9,245800,1050,42,3,0,39205,46,3,21,31,14,97,81,16,33,48,39,39,0,NA,130,0,0,0
"148","50","73450","Troy",193,66.2,98,95,188,0,0,0,89313,0,41466,18,178900,-666666666,92,0,0,47750,111,11,10,0,0,96,91,5,91,0,92,87,0,1845,193,0,4,11
"149","50","74050","Underhill Center",43,29.5,29,14,43,0,0,0,-666666666,0,NA,0,-666666666,-666666666,28,0,0,-666666666,0,0,28,0,0,14,14,0,14,0,28,14,0,NA,43,0,0,14
"150","50","74125","Underhill Flats",537,42.5,303,234,530,0,0,0,72422,0,49558,17,275300,951,385,0,0,57170,155,75,121,9,0,331,331,0,217,114,385,314,0,8265,537,0,0,99
"151","50","74650","Vergennes",2571,45,1194,1377,2443,52,0,41,85417,15,38752,290,263500,1040,1469,39,76,47130,510,138,419,223,23,1147,1077,70,760,317,1422,964,19,28045,2539,0,0,147
"152","50","75250","Waitsfield",166,67.9,69,97,139,6,0,11,23068,8,50290,15,460000,-666666666,74,0,0,16477,8,0,71,41,0,142,122,20,36,86,52,35,0,715,166,0,0,0
"153","50","75850","Wallingford",680,47.9,255,425,658,0,21,48,79750,24,42228,37,262900,919,396,0,79,52905,174,98,105,60,0,332,265,67,167,98,396,390,0,10665,680,0,0,42
"154","50","76150","Wardsboro",67,66.9,32,35,67,0,0,0,91250,0,51003,2,267900,-666666666,35,7,0,46111,14,10,4,23,0,46,39,7,34,5,28,26,0,605,67,0,0,0
"155","50","76900","Waterbury",1728,40.7,962,766,1633,0,0,1,59934,87,44899,270,332900,984,934,34,0,53767,221,113,495,170,62,1029,903,126,347,556,883,639,0,17010,1714,0,0,162
"156","50","77050","Waterbury Center",228,48.4,141,87,206,0,0,0,151389,0,68249,0,292500,-666666666,167,0,38,77083,17,13,101,0,0,223,106,117,68,38,167,91,0,NA,190,0,0,0
"157","50","77800","Websterville",427,56.2,243,184,427,0,0,0,74135,0,45554,16,159600,-666666666,320,40,0,35833,132,13,28,102,0,205,205,0,147,58,280,280,0,4645,427,0,0,14
"158","50","77875","Wells",423,34.1,198,225,370,0,0,0,73750,19,38781,62,198400,1208,228,0,33,52500,52,45,57,7,0,284,163,121,134,29,228,211,0,12905,423,0,0,87
"159","50","78025","Wells River",339,52.4,187,152,273,0,20,13,40556,3,26622,99,160800,755,144,15,34,30625,116,8,35,6,0,213,168,45,87,81,128,87,3,3930,339,0,0,15
"160","50","78850","West Brattleboro",2614,44.6,1179,1435,2435,0,63,54,39555,76,31144,484,249200,881,1326,75,69,43393,542,205,377,248,28,1365,1229,136,678,551,1214,933,0,26655,2614,0,0,33
"161","50","79150","West Burke",165,45.8,84,81,160,0,0,10,24444,8,26465,38,220000,933,77,13,15,28889,31,10,17,4,0,143,86,57,48,38,62,49,0,1375,165,0,0,10
"162","50","79335","West Charlotte",187,51.4,90,97,187,0,0,0,105547,0,41416,26,436800,-666666666,108,0,0,61167,46,13,34,12,0,75,75,0,75,0,108,73,0,1125,187,0,0,14
"163","50","79750","West Dummerston",59,63.9,22,37,53,0,0,6,-666666666,0,78373,0,193000,-666666666,46,0,0,50313,14,4,32,3,0,37,37,0,29,8,46,24,0,NA,59,0,0,6
"164","50","80275","Westford",182,47.8,104,78,166,0,0,0,142083,0,56671,0,285500,-666666666,109,13,0,52679,40,4,61,4,9,73,73,0,73,0,96,86,0,2570,163,0,0,7
"165","50","81325","Westminster",622,32.4,310,312,574,0,0,35,90938,0,35372,2,285300,915,281,1,3,47750,47,39,69,94,9,178,169,9,140,29,271,181,0,5915,622,0,0,9
"166","50","81925","Weston",58,66.5,31,27,32,0,26,0,117083,0,39845,0,569400,-666666666,18,0,0,56071,0,0,11,20,0,63,19,44,19,0,18,13,0,NA,58,0,0,0
"167","50","82150","West Pawlet",301,48.4,198,103,287,0,5,0,-666666666,18,37510,80,119900,931,182,8,16,29726,68,15,25,13,0,137,108,29,91,17,174,153,0,6290,301,0,0,0
"168","50","82375","West Rutland",2144,44.7,1000,1144,2042,21,0,6,53373,3,35279,153,178300,1051,1071,31,88,46117,518,228,370,120,32,1018,951,67,698,253,1040,854,5,19775,2144,0,0,83
"169","50","83125","West Woodstock",507,39.8,241,266,468,0,0,50,-666666666,47,59039,73,350000,-666666666,281,0,10,43828,120,11,80,81,0,266,241,25,143,98,281,72,46,5460,507,0,0,0
"170","50","83575","White River Junction",2878,33.2,1333,1545,2578,8,196,54,73546,27,32450,455,250700,1116,1611,46,175,41811,562,171,404,166,0,1308,1145,163,496,649,1565,1078,0,19475,2869,9,0,269
"171","50","83875","Whitingham",147,40.3,82,65,143,0,0,4,87679,4,23544,4,222200,-666666666,59,0,3,50341,41,0,14,3,0,61,51,10,34,17,59,53,0,NA,147,0,0,0
"172","50","84025","Wilder",3394,45.6,1518,1876,3197,54,38,28,69063,68,43466,349,241000,1200,1863,114,8,53697,511,227,1165,337,77,1792,1698,94,1041,657,1749,1414,39,27035,3308,0,28,257
"173","50","84100","Williamstown",1622,38.8,957,665,1544,0,0,0,90938,59,33508,175,182200,1732,975,10,102,40105,489,133,127,51,0,641,610,31,461,149,965,854,0,18805,1622,0,0,70
"174","50","84625","Wilmington",370,40.9,225,145,364,0,0,3,54861,0,50828,23,290400,967,170,0,0,51204,21,0,71,43,61,284,251,33,119,132,170,107,0,3105,370,0,0,21
"175","50","85000","Windsor",1961,45.3,914,1047,1791,13,14,21,48371,21,33959,124,158800,988,1009,19,63,42260,441,151,175,200,0,1092,993,99,471,522,951,740,0,18660,1891,0,0,105
"176","50","85150","Winooski",8198,32.7,4525,3673,6435,373,932,248,77020,234,41159,1161,350700,1635,5622,26,311,44735,716,468,2023,737,245,3952,3841,111,1467,2374,5508,3521,135,100680,8170,0,44,1000
"177","50","85300","Wolcott",209,42.4,131,78,205,0,0,4,39904,3,25862,10,155600,1091,112,0,17,39615,79,0,4,20,0,143,107,36,62,45,112,108,0,2090,209,0,0,8
"178","50","85900","Woodstock",983,56.7,465,518,973,7,0,62,103750,29,72648,124,659300,1122,438,0,3,49779,111,57,237,172,45,642,463,179,273,190,438,169,0,5745,939,0,0,20
"179","50","86050","Worcester",113,33.9,66,47,111,0,2,0,63750,0,26241,6,225000,839,62,22,4,49167,3,10,19,10,0,37,37,0,22,15,36,32,0,780,113,0,0,15
