"","state","place","NAME","Total Population","Median Age","Total Male Population","Total Female Population","White Alone","Black or African American Alone","Asian Alone","Hispanic or Latino Population","Median Household Income","Household Income Brackets","Per Capita Income","Population Below Poverty Level","Median Home Value","Median Gross Rent","Labor Force","Unemployed Population","Civilian Employed Population","Industry for Civilian Employed Population","High School Graduate or Equivalent","Bachelor's Degree","Master's Degree","Professional School Degree","Doctorate Degree","Total Housing Units","Occupied Housing Units","Vacant Housing Units","Owner-Occupied Housing Units","Renter-Occupied Housing Units","Total Workers","Workers Who Drive Alone","Workers Using Public Transport","Mean Travel Time to Work (Minutes)","Total Population for Health Insurance Coverage","Population with Public Health Insurance","Population with Private Health Insurance","Population with No Health Insurance"
"46","50","24025","Enosburg Falls",1595,37.2,779,816,1300,4,15,0,54583,16,26975,268,196100,837,754,45,36,44583,447,49,107,15,16,756,629,127,447,182,660,537,4,14415,1549,13,6,74
"47","50","24400","Essex Junction",10720,40.4,5497,5223,8919,359,599,185,94423,127,49565,707,376800,1439,6513,124,518,54664,1111,733,2455,1169,159,4852,4716,136,2891,1825,6335,4468,49,108890,10637,72,0,708
"48","50","24850","Fairfax",886,48.8,471,415,886,0,0,0,56667,82,37402,180,348600,1009,445,45,22,39306,217,36,253,110,11,508,508,0,188,320,400,277,0,8625,886,0,0,74
"49","50","25450","Fair Haven",2435,44.9,1107,1328,2260,2,0,0,65898,48,31519,389,163000,818,1169,51,68,40305,620,234,274,91,0,1192,997,195,783,214,1088,867,28,32685,2435,0,0,146
"50","50","25600","Fairlee",100,58.6,59,41,96,0,0,0,60250,7,42366,24,266200,993,57,0,0,40125,20,36,20,3,0,70,70,0,31,39,57,49,0,690,100,0,0,0
"51","50","27925","Gilman",146,56.3,97,49,141,0,0,5,57955,0,36725,0,97900,-666666666,85,0,17,45208,38,0,8,22,0,133,72,61,43,29,68,59,0,NA,146,0,0,17
"52","50","28000","Glover",225,48.4,115,110,194,6,0,0,41964,0,21782,44,116400,836,79,7,7,41667,56,10,32,13,0,71,71,0,45,26,72,50,0,1165,179,0,0,13
"53","50","28825","Grafton",74,54.1,46,28,52,0,0,22,111875,0,48865,0,517900,-666666666,42,0,8,17813,18,0,16,10,0,54,27,27,26,1,42,26,0,560,74,0,0,0
"54","50","29425","Graniteville",362,33,210,152,261,101,0,0,36349,13,28046,30,140900,1087,210,14,0,36213,140,16,94,13,0,305,229,76,59,170,196,185,0,3095,362,0,0,112
"55","50","30100","Greensboro",109,68.2,44,65,103,0,0,5,63750,0,86631,0,525000,400,39,0,0,46125,7,1,14,39,1,299,60,239,44,16,38,30,0,1235,109,0,0,2
"56","50","30325","Greensboro Bend",308,26.9,157,151,307,1,0,4,88281,11,36393,32,244800,-666666666,172,0,16,52969,33,11,65,9,4,144,116,28,87,29,164,128,0,3135,308,0,0,16
"57","50","30475","Groton",514,30.7,252,262,470,0,0,2,75583,6,28241,81,180900,295,236,7,17,49522,54,62,75,43,0,242,193,49,150,43,229,186,2,5755,514,0,8,38
"58","50","31600","Hanksville",50,63.5,23,27,42,0,0,0,109167,0,61210,0,346200,-666666666,35,0,2,74375,3,2,18,8,0,26,26,0,22,4,31,29,0,1115,50,0,0,0
"59","50","31750","Hardwick",1047,57.6,543,504,890,39,0,0,41667,0,35253,142,175300,806,527,23,21,36667,390,47,75,30,0,595,538,57,273,265,487,352,0,11375,1047,0,0,38
"60","50","32050","Harmonyville",159,50.6,107,52,152,0,0,0,65795,0,37306,6,258300,-666666666,126,0,0,31447,61,3,14,10,4,63,59,4,55,4,126,69,0,2290,159,0,0,4
"61","50","32205","Hartford Village",548,44.6,240,308,464,0,0,16,71250,18,43343,95,-666666666,1169,387,0,36,47401,45,46,38,68,10,303,273,30,116,157,387,302,68,8760,548,0,0,34
"62","50","32350","Hartland",713,37.5,379,334,713,0,0,0,99232,23,31271,86,-666666666,-666666666,320,27,0,77880,109,55,55,29,0,234,209,25,175,34,293,218,0,5610,713,0,0,62
"63","50","33175","Highgate Center",410,36.3,211,199,344,0,0,66,116049,0,38572,0,344000,-666666666,237,0,0,60453,23,0,51,12,0,161,120,41,120,0,237,237,0,3410,410,0,0,23
"64","50","33325","Highgate Springs",2,-666666666,0,2,2,0,0,0,-666666666,0,-666666666,2,-666666666,-666666666,0,0,0,-666666666,0,0,0,0,0,123,0,123,0,0,0,0,0,-666666666,2,0,0,0
"65","50","33400","Hinesburg",581,30.6,259,322,474,0,0,0,53627,0,33905,92,230200,1553,445,21,0,27675,49,28,98,50,0,328,328,0,87,241,373,295,0,8125,581,0,0,27
"66","50","34525","Huntington",579,50,289,290,548,3,0,7,87250,6,42780,41,264100,-666666666,276,6,18,56111,139,31,105,63,4,251,251,0,246,5,267,214,0,8150,579,0,4,30
"67","50","34675","Huntington Center",143,32.8,100,43,93,0,47,0,91862,0,57727,9,353300,955,117,0,0,48776,0,1,62,45,5,84,84,0,32,52,117,83,0,2905,143,0,0,51
"68","50","34975","Hyde Park",434,42.8,194,240,421,0,4,9,86467,7,56879,39,288900,1322,225,4,6,51607,68,28,73,48,24,229,195,34,154,41,221,178,0,5590,434,0,0,34
"69","50","35500","Irasburg",167,49.4,85,82,154,0,0,10,67083,0,28025,27,152100,922,81,0,3,42250,80,22,4,0,0,91,73,18,41,32,81,45,0,2145,167,0,0,22
"70","50","35725","Island Pond",698,50.6,314,384,677,0,0,49,47500,5,43179,91,118900,795,274,6,49,38875,100,18,93,51,6,587,354,233,155,199,268,241,0,6995,698,0,0,38
"71","50","36025","Jacksonville",152,45.3,70,82,148,0,0,0,100278,4,34781,4,261500,-666666666,86,15,0,55096,48,4,26,9,0,87,52,35,52,0,71,67,0,1775,152,0,0,0
"72","50","36100","Jamaica",55,32,30,25,55,0,0,0,81136,0,37296,4,272700,-666666666,45,22,2,46319,22,4,3,18,0,83,28,55,28,0,23,23,0,NA,55,0,0,22
"73","50","36475","Jeffersonville",729,32.7,370,359,668,5,0,4,57083,12,37445,132,305800,1165,473,25,20,40476,78,48,194,38,4,360,351,9,71,280,440,316,0,11510,729,0,0,79
"74","50","36625","Jericho",1230,33.5,566,664,1056,26,0,9,94063,0,50499,20,397800,1752,786,0,6,43545,61,58,492,60,25,493,493,0,382,111,786,594,0,17670,1230,0,0,50
"75","50","37000","Johnson",1668,22.5,727,941,1528,43,8,55,48355,75,20360,242,-666666666,976,959,133,14,28714,231,49,152,56,0,662,593,69,227,366,805,435,0,16310,1668,0,0,67
"76","50","37750","Killington Village",578,41.3,312,266,410,54,9,63,62000,9,36158,86,4e+05,892,325,19,1,40982,94,43,131,33,11,1589,236,1353,170,66,306,180,10,3900,575,0,0,43
"77","50","40000","Lincoln",290,54.7,140,150,290,0,0,3,78125,0,38159,12,328800,845,157,16,15,42125,73,3,57,13,9,124,111,13,85,26,141,116,4,3475,286,0,0,5
"78","50","40150","Londonderry",69,58.3,55,14,69,0,0,0,-666666666,0,29858,0,145100,-666666666,37,0,23,29813,32,0,7,0,0,46,37,9,37,0,37,30,0,NA,69,0,0,0
"79","50","40450","Lowell",231,39.3,136,95,231,0,0,14,79250,1,29921,15,184400,-666666666,127,19,6,34500,60,21,9,9,0,99,84,15,79,5,102,67,0,6120,225,0,0,7
"80","50","41200","Ludlow",755,52.3,329,426,730,0,0,9,53654,19,50533,69,278300,1029,414,22,38,39085,184,73,140,50,9,671,380,291,188,192,389,287,0,6915,710,2,0,25
"81","50","41350","Lunenburg",430,47.8,174,256,418,0,2,0,43523,21,18501,194,143100,-666666666,168,46,39,41833,99,6,58,5,0,171,161,10,125,36,122,104,0,3060,430,0,0,17
"82","50","41650","Lyndon",95,58.6,21,74,74,0,0,21,-666666666,0,42763,0,181600,-666666666,78,25,0,60492,0,0,49,0,0,74,74,0,49,25,53,20,0,NA,95,0,0,0
"83","50","41800","Lyndon Center",337,30.5,209,128,322,0,0,15,-666666666,0,25006,15,-666666666,-666666666,180,15,0,6732,31,0,65,39,0,70,70,0,70,0,165,139,0,NA,337,0,0,26
"84","50","41950","Lyndonville",1229,32.9,600,629,1008,0,0,129,43693,11,28391,397,290000,1083,712,21,52,24321,277,57,176,41,0,618,545,73,264,281,691,328,0,11300,1229,0,0,149
"85","50","42700","Manchester",642,64.8,268,374,588,9,0,45,62813,28,43694,102,458100,479,188,0,0,40781,95,83,111,136,7,748,322,426,172,150,151,73,3,1755,621,0,0,0
"86","50","42925","Manchester Center",1935,49.6,730,1205,1850,1,10,4,88786,116,47279,543,330300,875,1006,32,57,49730,366,81,286,143,113,1235,756,479,610,146,974,675,0,13130,1924,0,0,80
"87","50","43525","Marshfield",431,42.8,256,175,380,0,9,29,81875,0,33848,19,169300,1136,216,6,116,43269,55,13,76,23,5,138,123,15,103,20,210,128,3,5205,431,0,0,23
"88","50","44275","Middlebury",7145,23.5,3191,3954,5753,144,523,427,74900,91,31784,587,388100,1287,3252,146,81,22066,450,154,1118,627,152,2407,2044,363,1186,858,3006,1203,19,36275,6992,0,0,222
"89","50","44725","Middletown Springs",134,33.7,63,71,134,0,0,0,66250,0,29459,6,190300,1125,66,3,8,41750,21,4,21,14,2,44,44,0,37,7,63,55,3,1975,134,0,0,9
"90","50","45175","Milton",3510,37.6,1965,1545,3197,173,0,20,82750,13,34630,297,309000,1643,2128,341,271,52188,887,248,342,166,0,1290,1277,13,863,414,1588,1196,0,37085,3510,0,0,328
"91","50","46000","Montpelier",8038,43.4,3601,4437,7218,86,134,329,79175,48,47578,580,349200,1169,4597,120,71,52891,803,292,2126,1486,330,4005,3751,254,2047,1704,4441,2507,65,62500,7991,0,0,438
"92","50","46825","Morrisville",2527,40.5,1346,1181,2273,6,48,90,66792,73,37544,373,258800,1242,1493,69,45,41439,392,156,323,246,18,1232,1200,32,593,607,1397,1064,0,28450,2468,0,0,180
"93","50","48100","Newbury",381,58.5,171,210,345,8,0,17,62679,6,48862,45,261000,697,161,8,7,41932,54,23,45,50,12,194,181,13,135,46,147,112,5,3110,381,0,0,16
"94","50","48325","Newfane",154,25.9,84,70,132,0,0,0,-666666666,0,41129,23,363600,1141,126,0,0,31759,25,0,43,6,0,83,55,28,34,21,126,91,0,1985,154,0,0,12
"95","50","48550","New Haven",184,48,87,97,155,0,0,28,82083,0,41005,0,320600,1036,146,0,0,43393,64,12,29,15,1,77,77,0,65,12,146,105,0,2350,184,0,0,4
"96","50","48850","Newport",4413,46.3,2107,2306,4063,73,0,51,48194,162,32812,855,179000,849,1986,200,235,34481,1081,336,454,238,20,2368,1990,378,1152,838,1732,1182,0,15455,3951,0,0,216
"97","50","49000","Newport Center",207,30.7,100,107,204,0,0,0,-666666666,17,26488,71,131500,786,111,0,13,21971,55,3,14,0,0,141,129,12,43,86,111,74,0,1715,207,0,0,5
"98","50","49075","North Bennington",1342,36.2,646,696,1174,19,63,21,67500,12,27231,83,275000,1500,605,38,11,14583,281,72,115,151,27,380,306,74,197,109,567,262,0,7350,1315,0,1,45
"99","50","49450","North Clarendon",273,59.8,131,142,264,0,0,0,38750,15,34865,20,157500,751,148,0,16,44615,144,0,20,4,5,148,148,0,79,69,144,86,0,1830,273,0,0,22
"100","50","50200","Northfield",4165,26.1,2380,1785,3778,21,45,177,50417,59,25719,680,233700,977,2031,52,81,37574,755,152,429,167,42,1314,1218,96,660,558,1879,1323,0,42340,4110,0,37,250
"101","50","50500","North Hartland",406,59.4,188,218,385,0,0,0,76333,12,40960,31,359600,-666666666,177,0,34,41850,59,60,39,37,0,219,194,25,141,53,177,177,0,3875,406,0,0,0
"102","50","50725","North Hyde Park",346,58.1,197,149,346,0,0,0,59458,0,31848,0,177600,-666666666,186,0,102,27037,92,30,27,7,0,149,149,0,128,21,186,89,0,NA,346,0,0,27
"103","50","51325","North Pownal",345,60.8,163,182,319,0,0,0,71250,0,29381,0,196400,-666666666,126,0,0,47115,73,22,103,18,17,120,120,0,120,0,126,105,0,2850,345,0,0,0
